month,category_title,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,Unnamed: 0
April,Autos & Vehicles,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
April,Comedy,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,401,407
April,Education,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
April,Entertainment,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
April,Film & Animation,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
April,Gaming,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
April,Howto & Style,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557
April,Music,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747,747
April,News & Politics,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
April,People & Blogs,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,463,471
April,Pets & Animals,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
April,Science & Technology,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
April,Shows,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
April,Sports,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,296,297
April,Travel & Events,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
December,Autos & Vehicles,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
December,Comedy,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,569,579
December,Education,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,223,224
December,Entertainment,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1532,1549
December,Film & Animation,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
December,Gaming,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
December,Howto & Style,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,556,560
December,Music,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,947,950
December,News & Politics,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,526,547
December,Nonprofits & Activism,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
December,People & Blogs,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,514,518
December,Pets & Animals,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
December,Science & Technology,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,288,289
December,Shows,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
December,Sports,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,271,278
December,Travel & Events,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
February,Autos & Vehicles,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,126,129
February,Comedy,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,422,423
February,Education,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,234,235
February,Entertainment,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1201,1243
February,Film & Animation,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
February,Gaming,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,68,75
February,Howto & Style,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479
February,Music,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,752,777
February,News & Politics,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,499,521
February,Nonprofits & Activism,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,18
February,People & Blogs,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,434,442
February,Pets & Animals,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
February,Science & Technology,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,377,385
February,Sports,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,316,321
February,Travel & Events,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
January,Autos & Vehicles,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,89,91
January,Comedy,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,460,465
January,Education,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,242,254
January,Entertainment,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1237,1288
January,Film & Animation,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
January,Gaming,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,105,112
January,Howto & Style,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,549,551
